Provider,Storage_Needs,Supports_Encryption,CPU_Speed,Price_Per_Hour,Service_Model_Score,Activity_Field
Azure,1576.9,1,3.6,2.0,4,Education
Google Cloud,2000.0,1,3.3,3.5,4,Education
Private Cloud,2000.0,1,4.8,3.2,5,Telecom
Google Cloud,800.0,1,3.8,2.7,4,Medicine
Azure,2000.0,1,3.3,2.7,4,Education
Private Cloud,800.0,1,4.8,3.1,4,Education
AWS,2000.0,1,5.0,2.3,5,Bank
Private Cloud,800.0,1,5.0,3.5,4,IT
Private Cloud,834.9,1,4.9,3.5,5,Education
AWS,1327.0,0,4.1,7.3,1,Development
Azure,2000.0,1,4.1,3.0,5,IT
Azure,1965.6,1,3.4,3.2,5,Other
AWS,262.0,0,3.0,6.8,1,IT
Azure,1024.0,0,3.2,6.4,1,Education
Private Cloud,2000.0,1,4.9,3.2,4,Telecom
Google Cloud,800.0,1,4.6,3.2,5,Medicine
AWS,2000.0,1,5.0,2.2,4,Bank
Private Cloud,2000.0,1,3.9,3.4,5,IT
AWS,1345.5,1,3.5,3.5,4,Education
Google Cloud,800.0,1,5.0,2.3,5,Telecom
Azure,237.0,0,2.3,5.3,1,Bank
AWS,1354.2,1,3.0,2.9,5,IT
Private Cloud,1488.8,1,3.0,3.5,4,IT
Google Cloud,1239.0,1,4.0,3.5,5,Education
Google Cloud,2000.0,1,4.4,3.0,4,Development
Azure,755.0,1,3.3,6.8,1,Education
AWS,2000.0,1,3.0,2.9,4,IT
Private Cloud,1899.8,1,3.0,2.1,4,IT
Private Cloud,800.0,1,3.0,3.5,4,Telecom
Google Cloud,2000.0,1,4.3,2.5,4,Bank
AWS,1799.0,0,2.1,7.4,3,Bank
Private Cloud,1869.9,1,3.0,3.1,5,Education
Private Cloud,1608.4,1,3.4,3.3,4,IT
AWS,1358.5,1,4.8,2.9,4,Education
AWS,800.0,1,3.5,2.5,4,Bank
Private Cloud,1446.7,1,3.8,3.5,5,Bank
Google Cloud,800.0,1,5.0,3.2,5,Education
Google Cloud,2000.0,1,3.0,2.0,5,IT
Azure,1625.8,1,4.3,2.6,5,IT
AWS,2000.0,1,5.0,3.5,4,Education
Private Cloud,2000.0,1,3.8,2.9,4,Other
AWS,1940.5,1,4.6,2.4,5,Bank
Google Cloud,592.0,1,2.1,6.0,3,IT
AWS,800.0,1,5.0,3.1,4,IT
AWS,1823.9,1,3.0,3.5,5,Other
Google Cloud,2000.0,1,3.0,1.9,4,Bank
Google Cloud,2000.0,1,3.2,2.7,5,Education
Google Cloud,2000.0,1,5.0,3.5,4,Medicine
Google Cloud,1439.4,1,5.0,2.7,4,Education
Azure,548.0,0,2.3,5.8,2,Bank
Google Cloud,2000.0,1,3.3,3.5,5,IT
Private Cloud,2000.0,1,3.0,3.4,4,Development
Azure,2000.0,1,3.0,2.5,5,IT
Azure,2000.0,1,4.6,3.5,5,Education
Azure,800.0,1,3.0,3.1,5,Medicine
Azure,1299.0,0,2.0,5.9,3,Bank
Google Cloud,2000.0,1,3.0,2.6,4,Telecom
Azure,1753.2,1,4.1,2.0,4,Medicine
AWS,800.0,1,4.5,3.5,4,Bank
Private Cloud,1633.6,1,5.0,3.5,5,Medicine
Private Cloud,2000.0,1,4.0,3.3,4,Bank
Azure,800.0,1,3.9,2.2,4,IT
Azure,1416.0,0,2.9,7.0,2,Medicine
Private Cloud,2000.0,1,3.8,2.5,4,Bank
Google Cloud,800.0,1,4.2,2.3,5,Education
Azure,2000.0,1,5.0,3.5,4,Other
Azure,548.0,0,2.3,5.8,2,IT
Azure,800.0,1,3.0,2.9,5,Bank
Azure,1194.3,1,3.0,2.4,5,Telecom
AWS,1047.9,1,4.7,2.0,4,Medicine
Private Cloud,1730.1,1,3.9,3.5,5,Bank
AWS,1349.6,1,4.5,2.2,5,Telecom
AWS,1593.2,1,5.0,3.3,4,Education
AWS,1060.9,1,4.3,3.1,4,Telecom
Google Cloud,1782.1,1,3.9,3.5,4,Education
Google Cloud,1156.7,1,3.0,2.7,5,IT
AWS,1396.9,1,3.0,2.7,4,Development
Azure,2000.0,1,4.7,2.6,4,IT
Private Cloud,358.0,0,2.3,5.1,3,Telecom
Azure,2000.0,1,4.2,3.5,4,IT
Private Cloud,908.8,1,4.8,3.2,4,Education
Private Cloud,423.0,0,4.2,6.7,1,Education
Azure,800.0,1,3.8,1.7,4,Medicine
AWS,800.0,1,4.9,1.4,5,IT
Azure,2000.0,1,3.5,1.9,4,Bank
AWS,246.0,0,3.7,7.1,2,IT
Google Cloud,2000.0,1,4.5,3.5,4,Education
AWS,366.0,1,4.0,6.1,1,Bank
Azure,1942.7,1,3.9,2.4,5,Education
AWS,402.0,1,2.3,7.2,3,Education
Google Cloud,1551.3,1,3.1,2.0,4,Bank
Google Cloud,1986.7,1,4.4,3.5,4,Development
Google Cloud,661.0,0,2.2,7.5,2,Bank
Private Cloud,2000.0,1,3.0,2.6,5,IT
Azure,2000.0,1,4.6,3.5,4,IT
Azure,1678.4,1,4.8,3.5,4,Education
Google Cloud,1123.0,0,3.4,6.8,2,Development
Google Cloud,1215.0,1,2.3,6.8,1,Medicine
Private Cloud,1710.6,1,4.2,3.5,4,Other
Azure,2000.0,1,3.0,3.1,4,Telecom
Azure,2000.0,1,4.0,3.5,5,Development
Azure,1833.0,1,3.0,3.5,5,Bank
AWS,2000.0,1,5.0,3.1,5,Medicine
Private Cloud,1932.8,1,3.5,3.4,4,IT
AWS,1955.2,1,4.8,3.5,5,Other
Private Cloud,2000.0,1,3.5,3.5,4,Bank
Google Cloud,228.0,0,3.3,7.3,1,Other
Azure,2000.0,1,3.0,3.2,4,IT
AWS,2000.0,1,3.0,3.5,4,Bank
AWS,371.0,0,2.5,7.2,2,IT
AWS,1188.5,1,4.4,2.9,4,Medicine
Google Cloud,2000.0,1,5.0,3.5,5,Bank
AWS,290.0,1,2.7,6.1,3,Telecom
AWS,800.0,1,3.0,3.3,5,IT
AWS,262.0,0,3.0,6.8,2,IT
Private Cloud,2000.0,1,3.0,1.5,4,Education
AWS,1013.7,1,5.0,1.4,4,Bank
Private Cloud,2000.0,1,3.2,2.6,5,Medicine
AWS,918.3,1,3.0,3.2,4,Telecom
Private Cloud,609.0,1,3.9,6.8,1,Bank
AWS,2000.0,1,5.0,2.5,4,Education
Google Cloud,2000.0,1,4.5,3.4,4,IT
Google Cloud,1880.0,1,5.0,3.5,4,Telecom
AWS,392.0,1,2.1,6.5,1,Development
Azure,358.0,1,3.6,7.2,2,Other
Google Cloud,887.9,1,4.8,3.5,5,Telecom
Google Cloud,2000.0,1,4.2,2.5,4,Bank
AWS,2000.0,1,3.0,3.5,5,Education
Google Cloud,2000.0,1,3.9,3.5,4,Other
Azure,2000.0,1,3.8,2.7,4,Other
Private Cloud,1581.4,1,3.0,3.5,4,Bank
AWS,1827.4,1,4.4,3.5,4,Education
Google Cloud,800.0,1,3.0,1.9,4,Bank
AWS,2000.0,1,3.6,3.5,4,IT
Private Cloud,1131.7,1,3.8,1.6,4,IT
AWS,690.0,1,3.3,7.1,3,IT
Azure,2000.0,1,4.9,3.5,4,Medicine
Private Cloud,844.6,1,4.5,3.4,5,Education
AWS,1054.0,0,3.5,7.1,2,Other
Google Cloud,1684.9,1,3.1,1.9,5,Other
Google Cloud,800.0,1,3.0,2.5,4,IT
AWS,800.0,1,3.7,2.0,4,Education
Azure,800.0,1,3.1,2.5,4,Telecom
Private Cloud,2000.0,1,3.0,2.5,4,Education
AWS,2000.0,1,3.0,3.5,4,IT
Google Cloud,414.0,0,2.4,5.2,3,IT
Private Cloud,800.0,1,3.0,2.3,5,Bank
Azure,755.0,1,3.3,6.8,2,Development
Private Cloud,800.0,1,3.0,1.9,4,IT
Google Cloud,1739.6,1,4.4,3.5,4,Medicine
AWS,2000.0,1,3.0,2.1,4,Education
Google Cloud,1171.0,0,2.3,7.5,2,Bank
Google Cloud,864.6,1,4.6,2.7,5,Bank
Google Cloud,1777.3,1,4.1,2.0,4,IT
Azure,235.0,1,2.1,6.1,3,IT
Private Cloud,2000.0,1,3.0,2.6,4,Development
AWS,869.0,0,2.8,6.8,1,Medicine
Private Cloud,2000.0,1,4.1,2.8,5,Telecom
AWS,379.0,0,2.8,6.4,2,Medicine
AWS,1296.9,1,3.0,3.0,4,IT
Google Cloud,1733.1,1,3.8,2.5,4,IT
AWS,2000.0,1,3.5,2.9,4,Development
AWS,2000.0,1,4.9,2.1,4,Bank
Google Cloud,1573.9,1,3.0,2.7,4,Education
Private Cloud,2000.0,1,3.5,2.7,4,IT
Private Cloud,1369.7,1,4.2,2.5,5,Education
Azure,2000.0,1,4.3,3.4,4,IT
Private Cloud,1973.0,1,3.0,2.6,5,IT
AWS,1229.5,1,3.7,3.5,4,Medicine
Private Cloud,1690.9,1,4.4,2.7,5,Telecom
Google Cloud,1703.3,1,4.8,3.3,4,Medicine
Azure,1719.5,1,3.0,2.0,5,Medicine
Private Cloud,1743.0,0,2.9,7.4,1,IT
Azure,2000.0,1,4.8,2.5,5,IT
Google Cloud,800.0,1,4.1,2.2,5,Development
Google Cloud,1710.0,1,3.0,2.1,4,Telecom
Private Cloud,2000.0,1,5.0,3.5,5,IT
Google Cloud,800.0,1,3.4,2.3,4,Development
Private Cloud,811.5,1,3.0,1.5,4,Development
Azure,321.0,0,3.9,5.9,2,IT
Google Cloud,469.0,0,4.5,7.0,1,Bank
Private Cloud,2000.0,1,3.8,3.5,4,IT
Private Cloud,2000.0,1,4.5,3.5,5,Education
AWS,2000.0,1,3.0,3.5,5,Development
Private Cloud,1579.4,1,5.0,3.5,4,IT
Google Cloud,1116.0,1,4.0,7.5,3,Bank
AWS,866.4,1,5.0,3.5,5,Education
Google Cloud,2000.0,1,3.8,3.3,5,IT
AWS,1839.9,1,3.6,2.1,5,Bank
Google Cloud,1518.4,1,5.0,2.7,5,Education
Private Cloud,800.0,1,4.1,2.6,5,Medicine
Google Cloud,295.0,0,4.3,7.5,1,Development
Azure,2000.0,1,3.0,3.5,5,IT
Private Cloud,865.0,0,3.9,6.4,3,Development
Google Cloud,819.0,0,3.8,6.2,1,Medicine
AWS,2000.0,1,4.3,3.5,4,Bank
AWS,1378.3,1,3.7,3.5,5,Other
Google Cloud,1257.0,1,3.8,3.4,4,Education
AWS,800.0,1,4.2,2.1,4,IT
Google Cloud,2000.0,1,3.2,2.7,4,Development
Private Cloud,562.0,1,2.0,7.4,3,IT
Private Cloud,2000.0,1,3.5,1.9,5,Bank
Azure,1286.9,1,4.1,2.3,4,IT
Private Cloud,2000.0,1,3.0,3.5,5,Education
Private Cloud,2000.0,1,5.0,3.5,5,Development
Google Cloud,1639.4,1,3.0,3.2,4,Education
Google Cloud,2000.0,1,3.9,1.8,4,IT
Google Cloud,2000.0,1,3.0,3.5,4,Bank
Azure,1046.3,1,3.4,2.7,4,Education
Private Cloud,1631.7,1,4.5,3.5,4,Medicine
AWS,1971.2,1,5.0,3.5,4,Development
Azure,2000.0,1,4.5,2.5,4,IT
AWS,800.0,1,3.8,3.2,5,IT
AWS,940.0,0,2.5,6.1,2,Other
AWS,2000.0,1,3.0,3.2,4,IT
Azure,2000.0,1,3.0,2.5,5,IT
Google Cloud,800.0,1,3.5,1.8,4,IT
AWS,1117.5,1,3.0,2.5,5,IT
Azure,1410.0,0,2.7,6.6,3,IT
Private Cloud,800.0,1,3.0,1.8,5,Bank
Google Cloud,2000.0,1,4.3,2.5,4,IT
AWS,2000.0,1,3.2,1.9,4,Education
Private Cloud,1194.9,1,4.6,1.7,5,Medicine
Google Cloud,263.0,1,2.7,6.0,1,Education
AWS,1726.1,1,4.9,3.5,4,Education
Azure,2000.0,1,5.0,3.5,4,Education
Google Cloud,576.0,1,3.4,6.1,3,Education
Azure,2000.0,1,5.0,3.5,4,Education
Azure,1678.7,1,4.7,3.5,4,Other
Azure,2000.0,1,4.8,3.5,5,Bank
Google Cloud,619.0,0,3.2,7.5,1,Telecom
Google Cloud,1586.8,1,3.8,1.9,4,Education
Google Cloud,2000.0,1,5.0,2.2,4,Education
Google Cloud,2000.0,1,4.8,2.4,4,IT
Google Cloud,1469.0,1,4.0,2.5,4,Development
AWS,800.0,1,3.0,2.1,5,Education
AWS,800.0,1,4.2,3.5,4,Development
Azure,1288.5,1,3.6,3.5,5,Education
Azure,2000.0,1,3.0,3.5,5,IT
Azure,2000.0,1,3.0,3.2,4,Development
AWS,1233.4,1,3.7,1.9,4,Education
Google Cloud,2000.0,1,3.1,2.4,5,Education
Private Cloud,800.0,1,3.9,3.5,4,Bank
AWS,2000.0,1,4.1,3.0,4,Education
Private Cloud,2000.0,1,4.4,3.5,4,IT
Azure,2000.0,1,5.0,3.5,4,Other
Private Cloud,2000.0,1,3.6,3.3,5,Education
Azure,987.0,0,4.4,6.7,2,IT
Azure,2000.0,1,3.8,3.0,5,IT
Private Cloud,1463.2,1,4.8,2.7,4,Education
Azure,944.0,0,4.4,6.7,1,IT
Azure,2000.0,1,4.5,3.5,4,Education
AWS,1690.2,1,3.0,3.5,5,IT
Google Cloud,512.0,1,2.6,7.5,3,Education
Private Cloud,2000.0,1,3.2,3.3,4,Development
Azure,2000.0,1,5.0,3.1,4,Education
Azure,1634.7,1,4.3,2.9,5,IT
AWS,1813.0,0,2.6,7.5,2,Telecom
Azure,1389.1,1,4.2,2.8,4,Education
Azure,2000.0,1,3.5,1.9,5,IT
AWS,1789.4,1,4.6,2.8,5,Medicine
Google Cloud,2000.0,1,3.0,2.2,5,Other
Private Cloud,1630.8,1,4.3,2.9,5,IT
Azure,477.0,0,2.6,6.0,2,Development
Google Cloud,2000.0,1,4.6,3.5,5,IT
AWS,1385.1,1,3.0,2.5,4,Education
Google Cloud,2000.0,1,4.4,3.5,4,Telecom
Google Cloud,2000.0,1,5.0,3.5,5,Education
Private Cloud,2000.0,1,3.8,3.5,5,IT
Private Cloud,2000.0,1,5.0,3.5,4,IT
AWS,1303.9,1,3.0,2.5,5,IT
Google Cloud,1653.2,1,3.0,2.6,4,Medicine
Azure,2000.0,1,5.0,3.1,4,IT
Azure,2000.0,1,4.3,3.5,4,Bank
Google Cloud,2000.0,1,4.6,3.5,4,IT
AWS,1404.9,1,5.0,3.5,5,Telecom
Private Cloud,1848.5,1,3.0,2.4,5,Medicine
Azure,1966.4,1,3.0,2.6,4,Other
Azure,800.0,1,4.6,2.3,4,Development
Google Cloud,846.0,1,3.3,6.4,1,IT
Private Cloud,1945.1,1,3.0,3.5,5,IT
Private Cloud,258.0,0,4.4,5.5,2,Development
Azure,800.0,1,3.1,3.5,4,IT
AWS,2000.0,1,3.3,2.4,4,Telecom
Azure,2000.0,1,3.0,3.5,4,Medicine
Google Cloud,1582.6,1,4.2,3.5,5,Education
Google Cloud,2000.0,1,5.0,3.5,5,Telecom
AWS,2000.0,1,4.1,3.5,4,Education
AWS,2000.0,1,3.0,3.4,4,Bank
Azure,2000.0,1,3.3,3.5,4,Medicine
Private Cloud,2000.0,1,3.5,2.6,4,IT
Azure,2000.0,1,3.1,3.5,5,Telecom
Azure,2000.0,1,5.0,3.5,5,Other
Azure,2000.0,1,3.8,2.8,5,Education
Azure,1129.0,0,2.6,6.1,1,Education
Google Cloud,800.0,1,3.9,2.0,4,Medicine
Private Cloud,1549.4,1,3.2,1.9,5,Bank
Private Cloud,2000.0,1,4.7,3.5,5,Bank
AWS,2000.0,1,4.0,3.5,5,IT
Private Cloud,1715.6,1,3.9,2.6,4,Development
Private Cloud,1594.3,1,3.3,3.4,4,Bank
Google Cloud,301.0,1,2.8,6.6,3,Education
AWS,1269.0,0,3.0,6.3,1,Education
AWS,1462.6,1,4.1,1.8,4,Bank
Google Cloud,800.0,1,3.5,1.8,5,Other
Google Cloud,1823.1,1,4.3,3.5,5,IT
Azure,800.0,1,3.2,2.0,4,Telecom
Private Cloud,2000.0,1,5.0,2.9,4,Telecom
Private Cloud,800.0,1,3.0,3.0,4,Education
Private Cloud,800.0,1,3.1,2.2,4,Education
AWS,2000.0,1,3.6,3.5,5,Education
Google Cloud,2000.0,1,3.0,3.4,5,Education
AWS,2000.0,1,5.0,3.5,5,Bank
Azure,809.5,1,3.8,1.8,4,Development
Private Cloud,2000.0,1,3.0,2.7,4,Bank
Google Cloud,2000.0,1,5.0,3.5,4,IT
AWS,2000.0,1,4.9,2.7,4,IT
Azure,2000.0,1,3.2,3.5,4,Education
AWS,800.0,1,3.1,3.5,5,Education
Google Cloud,800.0,1,3.6,2.9,5,Education
Google Cloud,2000.0,1,5.0,3.5,5,IT
Azure,1438.3,1,3.0,3.4,5,Development
Azure,749.0,0,2.9,6.0,2,Bank
Google Cloud,800.0,1,3.1,2.5,5,IT
Azure,1915.7,1,3.4,2.5,4,Development
Private Cloud,2000.0,1,5.0,3.5,4,IT
AWS,949.8,1,3.4,2.5,5,IT
Google Cloud,263.0,1,2.7,6.0,2,IT
Private Cloud,1248.0,0,3.6,6.7,3,Other
Azure,2000.0,1,4.1,3.5,4,IT
Google Cloud,1384.6,1,5.0,2.9,4,Bank
AWS,866.2,1,4.6,3.5,4,IT
AWS,800.0,1,5.0,3.0,4,Education
AWS,305.0,1,4.3,6.3,1,Medicine
Private Cloud,2000.0,1,4.6,3.5,5,Telecom
Azure,1812.0,1,3.4,2.0,5,Medicine
Azure,800.0,1,3.9,2.3,4,Development
Azure,2000.0,1,3.0,3.5,4,IT
AWS,800.0,1,3.6,2.3,4,IT
Azure,2000.0,1,3.7,3.2,4,Bank
Google Cloud,2000.0,1,3.9,2.7,5,Bank
Private Cloud,800.0,1,3.8,3.5,5,Medicine
Private Cloud,1139.1,1,3.6,3.0,5,Telecom
Private Cloud,881.6,1,5.0,2.4,5,Development
AWS,2000.0,1,4.0,3.5,5,IT
AWS,1199.8,1,3.7,2.2,5,Development
Google Cloud,800.0,1,3.0,3.4,5,IT
Azure,1009.0,1,3.5,6.8,3,Medicine
AWS,289.0,0,2.0,7.0,1,Development
Private Cloud,856.9,1,5.0,3.5,5,IT
Private Cloud,1787.9,1,5.0,3.3,5,IT
AWS,2000.0,1,4.3,2.7,5,Development
Private Cloud,2000.0,1,5.0,2.9,4,Education
AWS,1998.4,1,3.2,3.5,5,Education
Private Cloud,370.0,1,4.0,6.4,3,Education
Google Cloud,1211.4,1,4.5,2.8,5,Bank
Google Cloud,2000.0,1,4.8,3.5,5,Education
Azure,800.0,1,3.3,2.6,4,Education
Private Cloud,235.0,1,4.5,7.3,2,Education
Private Cloud,1975.8,1,3.7,3.0,4,IT
Private Cloud,2000.0,1,3.0,3.5,5,Telecom
Azure,1237.7,1,3.5,3.2,4,Telecom
AWS,1761.5,1,4.0,2.8,4,IT
Google Cloud,2000.0,1,5.0,1.9,5,IT
Google Cloud,2000.0,1,5.0,2.9,4,Other
Google Cloud,815.0,0,2.9,7.2,1,Bank
Private Cloud,2000.0,1,3.0,3.5,4,Bank
Azure,1681.0,1,5.0,2.4,5,Education
AWS,2000.0,1,3.5,2.5,4,Telecom
Private Cloud,2000.0,1,3.9,3.5,4,Education
Azure,614.0,1,4.3,6.6,2,Bank
Azure,825.3,1,3.0,1.8,4,Bank
Azure,2000.0,1,3.0,2.7,4,Bank
AWS,2000.0,1,5.0,2.3,4,Medicine
AWS,2000.0,1,3.3,2.5,4,Bank
Private Cloud,2000.0,1,5.0,3.5,4,Education
AWS,940.0,0,3.0,7.0,2,Telecom
Private Cloud,1752.8,1,4.4,2.1,4,IT
Google Cloud,2000.0,1,5.0,2.5,4,Bank
AWS,1204.2,1,4.4,3.5,4,Development
Private Cloud,1414.2,1,4.7,3.3,4,Education
AWS,1038.0,0,2.2,7.0,1,Development
Azure,1069.4,1,3.2,2.3,5,Bank
Private Cloud,1479.6,1,4.1,2.1,5,Bank
Private Cloud,2000.0,1,3.0,3.5,5,Bank
Private Cloud,1028.9,1,3.4,1.8,4,IT
AWS,800.0,1,3.2,2.7,4,IT
Google Cloud,1262.0,0,3.0,6.9,3,Telecom
Azure,2000.0,1,3.9,3.5,4,Education
Azure,1547.6,1,5.0,3.5,5,Bank
AWS,815.8,1,4.9,2.0,4,Education
Google Cloud,2000.0,1,3.0,1.4,5,IT
Private Cloud,2160.0,0,2.2,7.4,3,IT
AWS,587.0,0,2.1,5.9,1,IT
Google Cloud,1580.4,1,5.0,3.4,5,IT
AWS,2000.0,1,3.8,3.5,4,Bank
Google Cloud,2000.0,1,3.4,3.5,4,IT
Private Cloud,850.0,1,4.1,7.5,2,IT
Private Cloud,1587.4,1,3.3,3.4,4,Medicine
Azure,515.0,0,3.5,6.5,1,Bank
Azure,2000.0,1,3.0,1.9,5,IT
Private Cloud,1101.7,1,3.0,2.9,5,Telecom
Private Cloud,2000.0,1,4.5,3.2,4,Medicine
Azure,1021.0,0,3.9,6.5,2,Telecom
AWS,787.0,0,2.5,7.4,1,Medicine
Google Cloud,800.0,1,3.0,2.4,5,Development
AWS,1893.9,1,3.0,2.6,4,Education
Google Cloud,289.0,1,4.1,7.3,2,Education
Azure,220.0,0,3.8,7.2,2,Education
Google Cloud,909.7,1,4.6,1.9,5,Bank
Azure,2000.0,1,3.7,2.5,4,Other
AWS,735.0,0,2.6,5.8,3,IT
Azure,2000.0,1,4.6,3.3,4,Bank
Azure,2000.0,1,4.7,3.1,5,Telecom
Google Cloud,1442.2,1,5.0,2.0,5,Education
Google Cloud,1918.3,1,3.0,2.2,4,Education
AWS,776.0,0,3.3,5.7,2,Bank
Private Cloud,1721.1,1,3.0,3.5,4,IT
Azure,580.0,0,3.3,6.6,2,IT
Google Cloud,801.5,1,4.0,3.5,5,Bank
Private Cloud,644.0,1,3.3,7.4,3,Development
Private Cloud,2000.0,1,3.6,3.5,4,Telecom
Google Cloud,1765.8,1,3.0,2.0,4,IT
AWS,1220.0,0,2.5,6.3,2,Development
Google Cloud,1619.3,1,4.8,3.5,5,Development
Azure,1447.1,1,4.1,2.5,5,IT
Private Cloud,1611.1,1,3.0,1.6,4,Bank
Google Cloud,2000.0,1,3.0,3.4,4,Education
Google Cloud,1176.4,1,4.3,2.3,4,Medicine
Private Cloud,807.7,1,3.8,3.0,4,IT
Private Cloud,267.0,0,2.5,7.4,1,Medicine
AWS,800.0,1,4.1,3.5,4,Bank
AWS,2000.0,1,3.2,3.5,4,Education
AWS,1002.0,0,3.1,6.7,1,Education
Private Cloud,2000.0,1,4.7,3.5,4,Development
Google Cloud,2000.0,1,3.9,3.5,5,Education
Azure,655.0,0,3.2,6.5,2,Telecom
Private Cloud,770.0,0,3.7,7.4,2,IT
AWS,800.0,1,3.0,3.5,5,IT
AWS,794.0,1,3.8,7.4,3,Bank
Google Cloud,1654.6,1,4.9,2.3,4,IT
AWS,2000.0,1,4.0,2.8,5,Other
AWS,2000.0,1,4.9,2.2,4,Other
Google Cloud,1611.0,0,3.1,7.0,1,Bank
Azure,2000.0,1,3.4,3.5,5,Bank
Google Cloud,1829.4,1,3.0,2.5,4,Bank
Google Cloud,1326.6,1,3.0,3.5,4,Other
Azure,800.0,1,4.1,3.5,4,Education
Azure,2000.0,1,4.7,3.5,5,Other
Private Cloud,1021.5,1,3.5,1.7,5,Education
Azure,1938.4,1,3.6,3.2,4,Education
Azure,930.4,1,4.0,1.6,5,Bank
Private Cloud,2000.0,1,5.0,3.5,5,Medicine
Azure,780.0,0,3.0,6.1,1,Medicine
AWS,274.0,0,3.1,6.1,1,IT
AWS,2000.0,1,4.2,3.5,4,IT
AWS,2000.0,1,5.0,1.7,4,Education
AWS,623.0,0,2.4,7.0,2,Bank
AWS,582.0,1,4.3,6.3,3,Education
AWS,1040.0,1,3.2,2.6,5,Telecom
AWS,800.0,1,4.1,2.9,5,IT
Google Cloud,2000.0,1,3.3,2.5,5,IT
Azure,2000.0,1,5.0,3.5,5,Development
Private Cloud,1747.5,1,5.0,3.5,4,IT
AWS,800.0,1,5.0,2.5,4,Telecom
AWS,1388.1,1,4.6,3.1,5,IT
Private Cloud,1075.0,1,4.4,2.5,5,Development
Azure,1770.2,1,3.6,3.5,5,IT
Azure,1108.3,1,5.0,2.3,4,IT
AWS,1885.1,1,5.0,3.5,5,Other
Azure,1955.2,1,3.1,3.3,5,Development
Private Cloud,1010.0,0,2.8,7.0,2,Medicine
AWS,2000.0,1,3.2,3.5,5,IT
Azure,1652.0,1,4.0,3.5,4,Bank
AWS,1144.0,1,4.2,2.8,4,Telecom
Private Cloud,936.9,1,3.3,2.6,4,Medicine
Azure,2000.0,1,4.8,3.5,4,Bank
AWS,593.0,0,3.4,6.9,1,Education
Google Cloud,1800.9,1,4.0,3.5,5,Telecom
Azure,800.0,1,4.3,2.9,4,Bank
Private Cloud,1836.8,1,4.4,3.0,5,Other
Google Cloud,1979.0,0,2.4,7.3,3,Education
AWS,2000.0,1,4.3,1.6,4,IT
AWS,800.0,1,3.6,2.3,4,Medicine
Private Cloud,1902.8,1,4.9,2.6,4,IT
Private Cloud,1778.1,1,5.0,3.0,5,Medicine
Azure,881.0,0,3.7,7.1,1,Bank
Google Cloud,560.0,1,3.1,6.8,2,Bank
Private Cloud,2000.0,1,3.4,2.1,4,Bank
Private Cloud,1839.9,1,4.3,2.8,4,Bank
